sample	mean_coverage	median_coverage
385_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.1856	18
388_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.7794	19
396_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.1611	18
411_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	32.9461	22
415_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.444	17
439_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	48.5527	30
440_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	47.2641	31
441_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	40.8921	26
442_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	42.3814	29
458_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	28.9406	21
459_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	28.1004	20
115_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	16.8335	13
116_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.5284	12
151_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	45.2572	29
152_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.7602	16
1_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	44.2516	29
243_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.4565	13
244_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.1386	17
245_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.0056	19
246_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.3116	16
247_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	23.1033	18
261_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.6786	20
262_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	48.3656	32
326_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.5317	14
327_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.484	16
359_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.6818	20
360_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.2021	19
361_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	30.2243	22
53_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.8214	24
54_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	35.6817	27
7_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	37.5724	25
8_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	28.3262	19
9_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	49.5721	35
117_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.8455	21
118_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	16.7982	13
190_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.1413	22
191_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.2368	22
198_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	57.6377	37
199_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	20.7406	16
200_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.7568	20
201_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.1329	23
202_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.2331	17
264_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	17.3858	14
265_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.334	19
266_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	41.5434	30
267_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.6044	15
