library	sample	base	mean	median	lower_quartile	upper_quartile	10th_percentile	90th_percentile
lib1	113_trimmed_filt_merged.1	85-89	33.296817046728904	37.0	37.0	37.0	16.6	37.0
lib1	113_trimmed_filt_merged.1	90-94	33.156662531531936	37.0	37.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.1	95-99	32.9468407070769	37.0	37.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.1	100-104	32.77029460891586	37.0	37.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.1	105-109	32.66337905226802	37.0	37.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.1	110-114	32.48125138844968	37.0	37.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.1	115-119	32.28819574210944	37.0	37.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.1	120-124	32.091236989126344	37.0	32.2	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.1	125-129	31.92367868151667	37.0	25.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.1	130-134	31.7583308327548	37.0	25.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.1	135-139	31.496971813933943	37.0	25.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.1	140-141	31.46097312814938	37.0	25.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.2	1	36.44713919023722	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	2	36.08948997038228	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	3	35.93740043521291	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	4	35.95599884436462	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	5	36.09918535000303	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	6	36.15166060062299	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	7	36.148058488279915	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	8	36.13849909641089	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	9	36.13227961061653	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	10-14	36.09756180734496	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	15-19	35.93590727927846	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	20-24	35.77292313548837	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	25-29	35.617973740041826	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	30-34	35.45718513179511	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	35-39	35.3450020996729	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.2	40-44	35.19930083790048	37.0	37.0	37.0	34.6	37.0
lib1	113_trimmed_filt_merged.2	45-49	35.014821162215284	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.2	50-54	34.888415675521195	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.2	55-59	34.74330187365775	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.2	60-64	34.60109368993299	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.2	65-69	34.427844340141554	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.2	70-74	34.27444974041062	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.2	75-79	34.06343699315592	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.2	80-84	33.91310399893348	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.2	85-89	33.77529686465529	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.2	90-94	33.60756771073933	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.2	95-99	33.418609231345464	37.0	37.0	37.0	22.2	37.0
lib1	113_trimmed_filt_merged.2	100-104	33.22071120688103	37.0	37.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.2	105-109	33.07661382522251	37.0	37.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.2	110-114	32.84511954139665	37.0	37.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.2	115-119	32.573323429151245	37.0	37.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.2	120-124	32.32318905998139	37.0	37.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.2	125-129	32.09064373623211	37.0	37.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.2	130-134	31.923716177266982	37.0	25.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.2	135-139	31.651341318270124	37.0	25.0	37.0	11.0	37.0
lib1	113_trimmed_filt_merged.2	140-141	31.40556013149901	37.0	25.0	37.0	11.0	37.0
lib1	114_trimmed_filt_merged.1	1	36.197661379182016	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.1	2	36.22713640335451	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.1	3	34.94018617286763	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	4	35.498787728963215	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.1	5	35.51211047033072	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.1	6	35.543947250894	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.1	7	35.54700434286665	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.1	8	35.583567680365825	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.1	9	35.59174605461745	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.1	10-14	35.54663559430708	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.1	15-19	35.37696085078026	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.1	20-24	35.240739094597906	37.0	37.0	37.0	29.8	37.0
lib1	114_trimmed_filt_merged.1	25-29	35.080866989752266	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	30-34	34.937853646717315	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	35-39	34.83593147619443	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	40-44	34.65315204173446	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	45-49	34.517125289931485	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	50-54	34.38597204120434	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	55-59	34.21778591335003	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	60-64	34.104513532867934	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	65-69	33.92376861373123	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	70-74	33.789260852164475	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	75-79	33.62415313296195	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	80-84	33.445453800382616	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.1	85-89	33.30837426343032	37.0	37.0	37.0	22.2	37.0
lib1	114_trimmed_filt_merged.1	90-94	33.17619978249176	37.0	37.0	37.0	11.0	37.0
lib1	114_trimmed_filt_merged.1	95-99	32.94312871871495	37.0	37.0	37.0	11.0	37.0
lib1	114_trimmed_filt_merged.1	100-104	32.772624220527135	37.0	37.0	37.0	11.0	37.0
lib1	114_trimmed_filt_merged.1	105-109	32.662010978768095	37.0	37.0	37.0	11.0	37.0
lib1	114_trimmed_filt_merged.1	110-114	32.44285814993732	37.0	37.0	37.0	11.0	37.0
lib1	114_trimmed_filt_merged.1	115-119	32.26232922903284	37.0	37.0	37.0	11.0	37.0
lib1	114_trimmed_filt_merged.1	120-124	32.05245433889855	37.0	32.2	37.0	11.0	37.0
lib1	114_trimmed_filt_merged.1	125-129	31.859528053296437	37.0	25.0	37.0	11.0	37.0
lib1	114_trimmed_filt_merged.1	130-134	31.688008636602312	37.0	25.0	37.0	11.0	37.0
lib1	114_trimmed_filt_merged.1	135-139	31.41653374413418	37.0	25.0	37.0	11.0	37.0
lib1	114_trimmed_filt_merged.1	140-141	31.482655890271765	37.0	25.0	37.0	11.0	37.0
lib1	114_trimmed_filt_merged.2	1	36.41426462808108	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	2	36.28787108716771	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	3	36.06819425712678	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	4	36.0663246390172	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	5	36.19102575697019	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	6	36.236348775355744	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	7	36.222147034429256	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	8	36.21190624562799	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	9	36.19931790648941	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	10-14	36.14998510266982	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	15-19	35.977370619319245	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	20-24	35.82752834063291	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	25-29	35.67407464655137	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	30-34	35.51876789137497	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	35-39	35.41865764228625	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	40-44	35.27399177111211	37.0	37.0	37.0	37.0	37.0
lib1	114_trimmed_filt_merged.2	45-49	35.10586901772085	37.0	37.0	37.0	29.8	37.0
lib1	114_trimmed_filt_merged.2	50-54	34.98353177724825	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.2	55-59	34.83674028645871	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.2	60-64	34.70962745983872	37.0	37.0	37.0	25.0	37.0
lib1	114_trimmed_filt_merged.2	65-69	34.54012805366206	37.0	37.0	37.0	25.0	37.0
